RT,SN,SYMBOL,TYPE,DQG,DQ3,TP
20,157,BALKRISIND,EQ,627208,133817,21.34
20,158,BALLARPUR,EQ,812098,478426,58.91
20,159,BALMLAWRIE,EQ,123012,90630,73.68
20,160,BALPHARMA,EQ,80455,32835,40.81
20,161,BALRAMCHIN,EQ,4341554,1150271,26.49
20,162,BANARBEADS,EQ,579,518,89.46
20,163,BANARISUG,EQ,109,91,83.49
20,164,BANCOINDIA,EQ,71379,39854,55.83
20,165,BANDHANBNK,EQ,5165184,1673037,32.39
20,166,BANG,EQ,13412,5921,44.15
20,167,BANKBARODA,EQ,9847399,1057172,10.74
20,168,BANKBEES,EQ,23058,20423,88.57
20,169,BANKINDIA,EQ,5545129,725540,13.08
20,170,BANSAL,SM,31000,17000,54.84
20,171,BANSWRAS,EQ,2563,2337,91.18
20,172,BARTRONICS,EQ,31036,19410,62.54
20,173,BASF,EQ,14246,7177,50.38
20,174,BASML,EQ,3383,2177,64.35
20,175,BATAINDIA,EQ,1287461,284171,22.07
20,176,BAYERCROP,EQ,17708,10851,61.28
20,177,BBL,EQ,6046,4266,70.56
20,178,BBTC,EQ,2564992,326318,12.72
20,179,BDL,EQ,12990,9339,71.89
20,180,BEARDSELL,EQ,5221,3981,76.25
20,181,BEDMUTHA,EQ,4397,2624,59.68
20,182,BEL,EQ,3640086,853683,23.45
20,183,BEML,EQ,644561,93533,14.51
20,184,BEPL,EQ,318508,144266,45.29
20,185,BERGEPAINT,EQ,813801,198299,24.37
20,186,BETA,SM,42400,42400,100.00
20,187,BFINVEST,EQ,150518,48299,32.09
20,188,BFUTILITIE,EQ,219072,55700,25.43
20,189,BGRENERGY,EQ,67390,43856,65.08
20,190,BHAGERIA,EQ,21870,17412,79.62
20,191,BHAGYAPROP,EQ,4091,4041,98.78
20,192,BHANDARI,EQ,326868,265450,81.21
20,193,BHARATFIN,EQ,426485,307006,71.99
20,194,BHARATFORG,EQ,1205281,276120,22.91
20,195,BHARATGEAR,EQ,51975,19007,36.57
20,196,BHARATRAS,EQ,1414,1264,89.39
20,197,BHARATWIRE,EQ,30177,23109,76.58
20,198,BHARTIARTL,EQ,2089422,806814,38.61
20,199,BHEL,EQ,31797538,5058095,15.91
20,200,BHUSANSTL,EQ,1049115,595822,56.79
20,201,BIGBLOC,EQ,3857,2341,60.69
20,202,BIL,EQ,41100,18194,44.27
20,203,BINANIIND,EQ,211766,101830,48.09
20,204,BINDALAGRO,EQ,32442,21788,67.16
20,205,BIOCON,EQ,1143154,202328,17.70
20,206,BIRLACABLE,EQ,1551329,414199,26.70
20,207,BIRLACORPN,EQ,48069,23950,49.82
20,208,BIRLAMONEY,EQ,67119,34234,51.00
20,209,BKMINDST,EQ,32002,15885,49.64
20,210,BLBLIMITED,EQ,32729,29851,91.21
20,211,BLISSGVS,EQ,176054,34353,19.51
20,212,BLKASHYAP,EQ,76733,69158,90.13
20,213,BLS,EQ,40667,22984,56.52
20,214,BLUEBLENDS,EQ,4430,3696,83.43
20,215,BLUEDART,EQ,3277,2437,74.37
20,216,BLUESTARCO,EQ,24907,13130,52.72
20,217,BODALCHEM,EQ,182193,104311,57.25
20,218,BOHRA,SM,4000,4000,100.00
20,219,BOROSIL,EQ,120800,64730,53.58
20,220,BOSCHLTD,EQ,5733,3257,56.81
20,221,BPCL,EQ,4865929,1857253,38.17
20,222,BPL,EQ,172942,48787,28.21
20,223,BRIGADE,EQ,53535,27971,52.25
20,224,BRIGHT,SM,129000,45000,34.88
20,225,BRITANNIA,EQ,137918,46851,33.97
20,226,BRNL,EQ,3991,2358,59.08
20,227,BROOKS,EQ,34124,18465,54.11
20,228,BSE,EQ,108011,61415,56.86
20,229,BSELINFRA,EQ,239463,150998,63.06
20,230,BSHSL,SM,17000,12000,70.59
20,231,BSL,EQ,5900,4522,76.64
20,232,BSLGOLDETF,EQ,14,8,57.14
20,233,BSLNIFTY,EQ,217,217,100.00
20,234,BUTTERFLY,EQ,28394,17866,62.92
20,235,BYKE,EQ,64679,44368,68.60
20,236,CADILAHC,EQ,3749033,835313,22.28
20,237,CADSYS,SM,2000,2000,100.00
20,238,CAMLINFINE,EQ,359077,200200,55.75
20,239,CANBK,EQ,5863520,329928,5.63
20,240,CANDC,EQ,43305,27280,63.00
20,241,CANFINHOME,EQ,837168,250418,29.91
20,242,CANTABIL,EQ,28054,17899,63.80
20,243,CAPACITE,EQ,36445,21683,59.50
20,244,CAPF,EQ,471031,124777,26.49
20,245,CAPLIPOINT,EQ,17354,11013,63.46
20,246,CAPTRUST,EQ,5742,3617,62.99
20,247,CARBORUNIV,EQ,30947,21533,69.58
20,248,CAREERP,EQ,16508,9418,57.05
20,249,CARERATING,EQ,8178,5035,61.57
20,250,CASTEXTECH,EQ,1031656,572083,55.45
20,251,CASTROLIND,EQ,911827,431061,47.27
20,252,CCCL,EQ,204445,170345,83.32
20,253,CCHHL,EQ,88013,66314,75.35
20,254,CCL,EQ,25871,12849,49.67
20,255,CDSL,EQ,184994,110905,59.95
20,256,CEATLTD,EQ,385795,29912,7.75
20,257,CEBBCO,EQ,61509,40963,66.60
20,258,CELEBRITY,EQ,22606,20661,91.40
20,259,CELESTIAL,EQ,74241,42226,56.88
20,260,CENTENKA,EQ,20884,11848,56.73
20,261,CENTEXT,EQ,864530,440335,50.93
20,262,CENTRALBK,EQ,66723,31944,47.88
20,263,CENTRUM,EQ,176225,111776,63.43
20,264,CENTUM,EQ,2637,1803,68.37
20,265,CENTURYPLY,EQ,176727,91488,51.77
20,266,CENTURYTEX,EQ,317970,31592,9.94
20,267,CERA,EQ,10407,5636,54.16
20,268,CEREBRAINT,EQ,1791955,657024,36.67
20,269,CES1RPG,MF,6398,6398,100.00
20,270,CESC,EQ,689998,124710,18.07
20,271,CGCL,EQ,100571,70432,70.03
