Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,16082018,493944695,0001764
Trade Date <16-AUG-2018>,Settlement Type <N>,Settlement No <2018157>,Settlement Date <21-AUG-2018>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1526,SUNFLAG,EQ,143229,77738,54.28
20,1527,SUNILHITEC,EQ,200397,200397,100.00
20,1528,SUNPHARMA,EQ,25169096,7611825,30.24
20,1529,SUNTECK,EQ,108738,27238,25.05
20,1530,SUNTV,EQ,1974728,571958,28.96
20,1531,SUPERHOUSE,EQ,31696,13453,42.44
20,1532,SUPERSPIN,EQ,4741,4741,100.00
20,1533,SUPPETRO,EQ,6446,5086,78.90
20,1534,SUPRAJIT,EQ,26482,20829,78.65
20,1535,SUPREMEIND,EQ,8175,5438,66.52
20,1536,SUPREMEINF,EQ,17652,14997,84.96
20,1537,SURANASOL,EQ,46373,32768,70.66
20,1538,SURANAT&P,EQ,44268,43168,97.52
20,1539,SUREVIN,SM,15000,15000,100.00
20,1540,SURYALAXMI,EQ,8728,5842,66.93
20,1541,SURYAROSNI,EQ,60095,16818,27.99
20,1542,SUTLEJTEX,EQ,22695,15112,66.59
20,1543,SUVEN,EQ,868924,350287,40.31
20,1544,SUZLON,EQ,17966069,7041406,39.19
20,1545,SVLL,SM,6000,3000,50.00
20,1546,SWANENERGY,EQ,141390,1542,1.09
20,1547,SWARAJENG,EQ,1491,1351,90.61
20,1548,SWELECTES,EQ,2431,1665,68.49
20,1549,SYMPHONY,EQ,22681,15308,67.49
20,1550,SYNCOM,EQ,65508,42925,65.53
20,1551,SYNDIBANK,EQ,4382261,1033974,23.59
20,1552,SYNGENE,EQ,14291,9410,65.85
20,1553,TAINWALCHM,EQ,971,569,58.60
20,1554,TAJGVK,EQ,47778,33481,70.08
20,1555,TAKE,EQ,106665,59014,55.33
20,1556,TALBROAUTO,EQ,94706,50702,53.54
20,1557,TALWALKARS,EQ,65444,40565,61.98
20,1558,TALWGYM,EQ,189195,70223,37.12
20,1559,TARACHAND,SM,8000,8000,100.00
20,1560,TARAJEWELS,EQ,35614,35614,100.00
20,1561,TARMAT,EQ,12887,9159,71.07
20,1562,TASTYBITE,EQ,1003,789,78.66
20,1563,TATACHEM,EQ,1509612,535359,35.46
20,1564,TATACOFFEE,EQ,217789,98919,45.42
20,1565,TATACOMM,EQ,246432,97347,39.50
20,1566,TATAELXSI,EQ,1005006,206643,20.56
20,1567,TATAGLOBAL,EQ,2551480,1036774,40.63
20,1568,TATAINVEST,EQ,10210,5243,51.35
20,1569,TATAMETALI,EQ,39704,13152,33.13
20,1570,TATAMOTORS,EQ,14148347,7286849,51.50
20,1571,TATAMTRDVR,EQ,3739751,2104131,56.26
20,1572,TATAPOWER,EQ,3007914,1694370,56.33
20,1573,TATASPONGE,EQ,82131,29748,36.22
20,1574,TATASTEEL,E1,240627,138328,57.49
20,1575,TATASTEEL,EQ,7907171,1879732,23.77
20,1576,TBZ,EQ,156534,91497,58.45
20,1577,TCFSL,N8,890,890,100.00
20,1578,TCFSL,N9,10,10,100.00
20,1579,TCI,EQ,403189,330480,81.97
20,1580,TCIDEVELOP,EQ,94,55,58.51
20,1581,TCIEXP,EQ,46484,27252,58.63
20,1582,TCIFINANCE,EQ,429055,105113,24.50
20,1583,TCNSBRANDS,EQ,31408,26484,84.32
20,1584,TCPLPACK,EQ,1685,1607,95.37
20,1585,TCS,EQ,2152065,1390016,64.59
