RT,SN,SYMBOL,TYPE,DQG,DQ3,TP
20,64,ALLCARGO,EQ,110194,47502,43.11
20,65,ALLSEC,EQ,2401,1813,75.51
20,66,ALPA,EQ,86539,53268,61.55
20,67,ALPHAGEO,EQ,3956,2020,51.06
20,68,AMARAJABAT,EQ,1050714,259436,24.69
20,69,AMBANIORG,SM,2000,2000,100.00
20,70,AMBER,EQ,3269,1897,58.03
20,71,AMBIKCO,EQ,1613,1335,82.77
20,72,AMBUJACEM,EQ,2837007,980095,34.55
20,73,AMDIND,EQ,14507,12462,85.90
20,74,AMJLAND,EQ,9798,6541,66.76
20,75,AMRUTANJAN,EQ,485558,65167,13.42
20,76,ANANTRAJ,EQ,1367526,346250,25.32
20,77,ANDHRABANK,EQ,2541340,556962,21.92
20,78,ANDHRACEMT,EQ,109601,80933,73.84
20,79,ANDHRSUGAR,EQ,16611,13387,80.59
20,80,ANIKINDS,EQ,5992,4660,77.77
20,81,ANSALAPI,EQ,46327,33836,73.04
20,82,ANSALHSG,EQ,10788,9627,89.24
20,83,APARINDS,EQ,2897,2413,83.29
20,84,APCL,EQ,4472,2775,62.05
20,85,APCOTEXIND,EQ,2386,1830,76.70
20,86,APEX,EQ,62187,23752,38.19
20,87,APLAPOLLO,EQ,7436,5279,70.99
20,88,APLLTD,EQ,33497,13814,41.24
20,89,APOLLO,EQ,29270,16689,57.02
20,90,APOLLOHOSP,EQ,1035541,158128,15.27
20,91,APOLLOTYRE,EQ,3566372,1132949,31.77
20,92,APOLSINHOT,EQ,1044,935,89.56
20,93,APTECHT,EQ,233496,66033,28.28
20,94,ARCHIDPLY,EQ,9674,6082,62.87
20,95,ARCHIES,EQ,84529,44399,52.53
20,96,ARIES,EQ,23223,11677,50.28
20,97,ARIHANT,EQ,825,602,72.97
20,98,ARIHANTSUP,EQ,42711,9977,23.36
20,99,ARMANFIN,EQ,2361,2171,91.95
20,100,AROGRANITE,EQ,21965,12930,58.87
20,101,ARROWGREEN,EQ,96642,47898,49.56
20,102,ARROWTEX,EQ,5855,3484,59.50
