Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"HEROMOTOCO","3,266.60","3,324.00","3,250.35","3,309.00","66.70","2.06","3.02","99.47","4,091.95","3,033.75","-17.23","-5.62"
"TATAPOWER","68.90","70.35","68.50","70.05","1.40","2.04","19.47","13.55","101.80","66.55","-14.21","0.07"
"BIOCON","592.00","609.40","591.00","603.00","11.70","1.98","22.02","132.90","696.60","318.05","83.62","3.11"
"UNIONBANK","87.20","89.00","86.60","88.25","1.65","1.91","63.35","55.64","196.05","73.90","-33.85","15.81"
"JUSTDIAL","576.00","594.90","574.15","583.60","10.85","1.89","34.42","202.41","647.00","347.10","61.44","1.99"
"HDFC","1,894.75","1,923.55","1,891.30","1,920.85","35.20","1.87","18.16","347.80","2,052.95","1,638.00","9.19","-4.41"
"BRITANNIA","6,669.00","6,786.80","6,650.00","6,752.00","122.10","1.84","1.45","97.51","6,786.80","4,142.20","58.85","6.07"
"SBIN","304.10","308.70","303.60","307.60","5.50","1.82","202.40","619.44","351.30","232.35","9.52","18.51"
"BATAINDIA","1,013.55","1,034.50","1,008.10","1,031.65","17.90","1.77","10.73","110.23","1,034.50","653.10","52.61","24.64"
"BHEL","74.60","75.40","74.40","75.15","1.30","1.76","49.24","36.86","107.95","64.45","-12.79","12.92"
"ANDHRABANK","32.40","32.95","32.15","32.80","0.55","1.71","35.33","11.47","73.45","29.25","-36.00","7.19"
"MRF","73,999.00","75,089.70","73,500.00","75,000.00","1,252.25","1.70","0.15","112.95","81,425.95","61,000.00","16.31","1.55"
"UJJIVAN","355.00","363.00","352.65","358.00","6.00","1.70","10.34","37.11","434.75","302.05","11.46","-3.62"
"PVR","1,305.50","1,349.40","1,302.55","1,328.15","22.00","1.68","4.70","62.63","1,568.45","1,062.80","2.07","20.05"
"PTC","83.60","84.95","82.95","84.80","1.35","1.62","12.44","10.45","130.45","67.80","-27.49","20.20"
"EXIDEIND","290.05","296.00","290.05","295.35","4.70","1.62","13.30","39.15","299.50","192.40","38.47","12.19"
"SYNDIBANK","39.00","39.30","38.50","39.25","0.60","1.55","32.35","12.59","95.90","37.30","-39.52","1.03"
"CASTROLIND","156.80","159.40","156.15","158.45","2.40","1.54","15.84","25.06","214.48","152.70","-58.63","-0.38"
"GODFRYPHLP","837.00","861.95","835.05","853.00","12.60","1.50","0.83","7.06","1,134.70","670.95","-20.79","25.23"
"WIPRO","280.80","286.40","280.00","284.25","4.20","1.50","16.09","45.74","334.00","253.50","-1.42","-0.19"
"HAVELLS","680.00","698.25","680.00","688.95","10.00","1.47","12.53","86.71","698.45","450.00","45.70","22.75"
"ADANIPOWER","31.45","31.95","31.30","31.70","0.45","1.44","189.74","59.90","47.80","15.15","10.45","53.88"
"GLENMARK","603.00","623.00","603.00","608.70","8.55","1.42","18.11","111.28","654.95","493.50","-1.73","9.53"
"NHPC","25.60","26.10","25.50","25.80","0.35","1.38","58.05","14.99","34.50","22.35","-16.37","9.09"
"DISHTV","69.95","71.50","69.30","70.75","0.95","1.36","30.45","21.48","86.90","63.70","-4.39","3.59"
"CGPOWER","61.40","61.40","59.90","60.40","0.80","1.34","45.04","27.24","99.15","46.75","-24.78","4.41"
"NMDC","105.15","106.10","103.85","106.00","1.35","1.29","23.70","24.92","162.70","93.50","-13.75","11.40"
"GODREJIND","612.60","625.80","610.00","618.15","7.85","1.29","6.37","39.49","657.90","512.55","2.13","3.35"
"COALINDIA","283.50","290.70","281.75","284.95","3.55","1.26","39.34","112.10","316.95","235.85","15.39","8.70"
"EQUITAS","142.00","144.50","141.40","143.10","1.75","1.24","11.47","16.48","183.60","129.30","-10.84","6.28"
"ALBK","40.40","41.10","40.00","40.70","0.50","1.24","35.49","14.38","89.00","37.30","-39.48","-0.85"
"INFRATEL","282.60","287.00","281.90","285.75","3.20","1.13","17.06","48.66","482.80","274.55","-24.67","-4.51"
"HEXAWARE","485.00","499.40","485.00","492.95","5.45","1.12","15.92","78.75","557.70","259.00","77.16","-1.96"
"INDIANB","345.00","347.70","341.40","345.05","3.75","1.10","8.67","29.86","427.40","253.05","13.26","5.05"
"HINDZINC","277.35","283.00","272.95","280.40","3.05","1.10","12.84","35.68","340.20","260.65","-4.88","4.10"
"ADANIPORTS","376.40","379.50","374.15","378.15","4.05","1.08","12.80","48.30","452.35","350.45","-2.86","3.87"
"JISLJALEQS","76.10","77.40","75.75","76.35","0.80","1.06","128.68","98.60","150.40","71.70","-22.05","-3.29"
"ARVIND","403.30","409.40","401.50","406.65","4.20","1.04","16.66","67.70","478.50","357.30","9.73","0.49"
"JETAIRWAYS","304.00","307.00","295.10","304.00","3.10","1.03","77.38","233.89","883.45","258.00","-48.58","-1.19"
"SUNTV","785.25","794.85","780.00","792.00","8.05","1.03","10.99","86.58","1,097.80","691.50","5.21","1.66"
"HDFCBANK","2,075.00","2,107.60","2,075.00","2,098.30","20.95","1.01","19.53","409.65","2,220.00","1,736.80","18.86","-3.58"
"HINDPETRO","269.65","273.80","269.05","270.25","2.70","1.01","35.59","96.78","492.80","250.60","-37.72","-5.54"
"BALRAMCHIN","71.10","72.15","70.85","71.80","0.70","0.98","26.46","18.91","182.50","58.70","-56.67","11.75"
"MOTHERSUMI","311.90","317.70","311.25","314.90","3.00","0.96","31.27","98.42","395.60","274.25","-2.73","10.94"
"OIL","206.40","207.80","204.50","205.85","1.90","0.93","8.00","16.50","259.30","180.33","-27.20","-1.72"
"KAJARIACER","414.90","420.00","408.35","415.00","3.75","0.91","4.45","18.37","767.70","406.00","-34.65","-5.21"
"CENTURYTEX","923.00","933.95","920.10","928.50","8.25","0.90","5.71","52.95","1,471.20","842.55","-23.00","7.56"
"AUROPHARMA","660.95","668.00","650.70","661.55","5.65","0.86","32.12","211.77","809.45","527.00","-5.96","14.79"
"M&M","967.65","982.25","962.10","969.55","8.05","0.84","18.78","182.68","982.25","612.00","-29.07","7.44"
"GSFC","114.55","116.00","112.80","115.00","0.95","0.83","11.67","13.35","166.40","100.05","-16.06","12.14"
"CESC","930.00","945.35","927.85","938.45","7.70","0.83","2.73","25.56","1,190.00","861.35","-1.63","6.13"
"BEML","811.00","819.80","807.10","814.05","6.60","0.82","5.64","45.90","1,947.00","737.30","-56.21","4.73"
"MRPL","81.15","82.10","80.50","81.70","0.65","0.80","6.99","5.68","146.70","73.35","-32.56","4.68"
"MINDTREE","1,028.00","1,042.60","1,020.55","1,037.00","8.10","0.79","7.75","80.07","1,101.20","439.05","117.99","-2.34"
"AMBUJACEM","229.30","233.00","227.50","230.40","1.75","0.77","15.92","36.70","291.50","189.00","-14.95","17.76"
"AJANTPHARM","1,204.85","1,219.55","1,195.60","1,205.00","9.10","0.76","2.04","24.60","1,595.00","895.85","-0.86","22.21"
"KOTAKBANK","1,263.25","1,280.25","1,261.45","1,272.85","9.60","0.76","10.55","134.15","1,417.00","962.00","28.70","-8.99"
"CANFINHOME","326.50","330.00","324.30","326.10","2.30","0.71","9.02","29.48","603.59","308.40","-44.91","-1.08"
"TATAGLOBAL","244.00","247.00","243.00","244.70","1.70","0.70","16.90","41.42","328.75","188.05","28.38","2.54"
"IOC","159.50","160.35","158.10","158.65","1.10","0.70","60.48","96.16","231.48","150.00","-62.78","-5.11"
"STAR","454.60","463.30","446.35","452.15","3.05","0.68","33.54","152.37","1,041.10","333.30","-50.66","28.25"
