RT,SN,SYMBOL,TYPE,DQG,DQ3,TP
20,1408,SHREECEM,EQ,16287,8807,54.07
20,1409,SHREEPUSHK,EQ,102405,44985,43.93
20,1410,SHREERAMA,EQ,9917,7566,76.29
20,1411,SHRENIK,SM,375000,188750,50.33
20,1412,SHREYANIND,EQ,31645,14353,45.36
20,1413,SHREYAS,EQ,50912,37031,72.74
20,1414,SHRIRAMCIT,EQ,6863,5574,81.22
20,1415,SHRIRAMCIT,NG,90,90,100.00
20,1416,SHRIRAMEPC,EQ,51245,30437,59.40
20,1417,SHYAMCENT,EQ,6275,5765,91.87
20,1418,SHYAMTEL,EQ,602,583,96.84
20,1419,SICAGEN,EQ,29032,21800,75.09
20,1420,SICAL,EQ,36235,33108,91.37
20,1421,SIEMENS,EQ,991778,429090,43.26
20,1422,SIIL,SM,2000,2000,100.00
20,1423,SILINV,EQ,8375,5278,63.02
20,1424,SILLYMONKS,SM,2400,1200,50.00
20,1425,SILVERTUC,SM,23000,20000,86.96
20,1426,SIMBHALS,EQ,9671,8010,82.82
20,1427,SIMPLEX,EQ,4138,3050,73.71
20,1428,SIMPLEXINF,EQ,18989,15112,79.58
20,1429,SINTERCOM,SM,8000,8000,100.00
20,1430,SINTEX,EQ,3613392,1330709,36.83
20,1431,SIRCA,SM,76000,41600,54.74
20,1432,SIS,EQ,13959,12754,91.37
20,1433,SITINET,EQ,56515,36017,63.73
20,1434,SIYSIL,EQ,3752,2448,65.25
20,1435,SJVN,EQ,1900411,1441577,75.86
20,1436,SKFINDIA,EQ,2012,1194,59.34
20,1437,SKIL,EQ,28960,23611,81.53
20,1438,SKIPPER,EQ,1488942,584481,39.25
20,1439,SKMEGGPROD,EQ,24115,10535,43.69
20,1440,SMARTLINK,EQ,1431,1154,80.64
20,1441,SMLISUZU,EQ,11168,7047,63.10
20,1442,SMSLIFE,EQ,4489,3027,67.43
20,1443,SMSPHARMA,EQ,74791,32513,43.47
20,1444,SMVD,SM,2000,2000,100.00
20,1445,SNOWMAN,EQ,544328,197787,36.34
20,1446,SOBHA,EQ,274693,98498,35.86
20,1447,SOFTTECH,SM,9600,8000,83.33
20,1448,SOLARA,EQ,243057,125014,51.43
20,1449,SOLARINDS,EQ,8737,5324,60.94
20,1450,SOMANYCERA,EQ,47599,25831,54.27
20,1451,SOMATEX,EQ,5455,5075,93.03
20,1452,SOMICONVEY,EQ,5584,3985,71.36
20,1453,SONAMCLOCK,SM,42000,42000,100.00
20,1454,SONATSOFTW,EQ,199546,65840,32.99
20,1455,SORILINFRA,EQ,257817,114513,44.42
20,1456,SOTL,EQ,1742,996,57.18
20,1457,SOUTHBANK,EQ,19366560,8064352,41.64
20,1458,SOUTHWEST,SM,9600,6400,66.67
20,1459,SPAL,EQ,4792,2866,59.81
20,1460,SPARC,EQ,1071296,219620,20.50
20,1461,SPECIALITY,EQ,50126,37226,74.26
20,1462,SPENTEX,EQ,31362,29963,95.54
20,1463,SPIC,EQ,194126,153582,79.11
20,1464,SPICEMOBI,EQ,9811,7224,73.63
20,1465,SPLIL,EQ,833403,265172,31.82
20,1466,SPMLINFRA,EQ,13137,7411,56.41
20,1467,SPTL,EQ,2405323,771005,32.05
20,1468,SQSBFSI,EQ,21035,12721,60.48
20,1469,SREEL,EQ,3430,1545,45.04
20,1470,SREIBNPNCD,ND,21,21,100.00
20,1471,SREIBNPNCD,NJ,10,10,100.00
20,1472,SREIBNPNCD,NL,300,300,100.00
20,1473,SREIBNPNCD,NP,161,161,100.00
20,1474,SREIBNPNCD,NQ,100,100,100.00
20,1475,SREIBNPNCD,NU,156,156,100.00
20,1476,SREIBNPNCD,NW,100,100,100.00
20,1477,SREINFRA,EQ,1286540,408534,31.75
20,1478,SREINFRA,NZ,27,27,100.00
20,1479,SREINFRA,Y6,50,50,100.00
20,1480,SREINFRA,YA,40,40,100.00
20,1481,SRF,EQ,404784,59512,14.70
20,1482,SRHHYPOLTD,EQ,2209,1377,62.34
20,1483,SRIPIPES,EQ,37633,19070,50.67
20,1484,SRSLTD,EQ,336385,286582,85.19
20,1485,SRTRANSFIN,EQ,1255962,679443,54.10
20,1486,SRTRANSFIN,Y3,55,45,81.82
20,1487,SRTRANSFIN,Y5,152,150,98.68
20,1488,SRTRANSFIN,Y9,100,100,100.00
20,1489,SRTRANSFIN,YG,10,10,100.00
20,1490,SRTRANSFIN,YI,100,100,100.00
20,1491,SRTRANSFIN,YJ,131,131,100.00
20,1492,SRTRANSFIN,YK,1220,1220,100.00
20,1493,SRTRANSFIN,YM,270,270,100.00
20,1494,SSWL,EQ,4957,2626,52.98
20,1495,STAMPEDE,EQ,55451,43353,78.18
20,1496,STAN,DR,750,544,72.53
20,1497,STAR,EQ,4425361,1002918,22.66
20,1498,STARCEMENT,EQ,33094,26273,79.39
20,1499,STARPAPER,EQ,146447,75601,51.62
20,1500,STCINDIA,EQ,93682,27289,29.13
20,1501,STEELCITY,SM,4000,2000,50.00
20,1502,STEELXIND,EQ,74284,44862,60.39
20,1503,STEL,EQ,192660,91421,47.45
20,1504,STERTOOLS,EQ,6389,3408,53.34
20,1505,STINDIA,EQ,534,533,99.81
20,1506,STRTECH,EQ,834919,270906,32.45
20,1507,SUBEX,EQ,4736714,1737892,36.69
20,1508,SUBROS,EQ,31157,19510,62.62
20,1509,SUDARSCHEM,EQ,131489,90613,68.91
